link,guid,pubDate,title,description
https://www.bhaskar.com/news/INT-historical-photos-of-pakistan-5669465-PHO.html,,"Wed, 16 Aug 2017 05:01:00 GMT","पाकिस्तान की पावरफुल PHOTOS, देखें बंटवारे के बाद से अब तक का हाल","<a href=""https://www.bhaskar.com/news/INT-historical-photos-of-pakistan-5669465-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/13//1_1502631810.jpg"" /></a>पाकिस्तान में आज स्वतंत्रता दिवस मनाया जा रहा है। 23 मार्च, 1956 को पाकिस्तान की दुनिया के पहले इस्लामिक रिपब्लिक देश के तौर पर स्थापना हुई थी। यहां तक पहुंचने के लिए पाकिस्तान कई दौर से गुजरा।
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
https://www.bhaskar.com/news/INT-saudi-prince-al-waleed-bin-talal-5670784-PHO.html,,"Tue, 15 Aug 2017 18:37:00 GMT","ये हैं सऊदी के सबसे ‘अमीर’ शेख, लोगों की मदद के लिए हमेशा रहते हैं आगे","<a href=""https://www.bhaskar.com/news/INT-saudi-prince-al-waleed-bin-talal-5670784-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/15//1_1502798253.jpg"" /></a> इंटरनेशनल डेस्क. इन दिनों सऊदी के सबसे अमीर प्रिंस अल वलीद बिन तलाल तुर्की में फैमिली के साथ छुट्टियां बिता रहे हैं। 62 साल के हो चुके प्रिंस वलीद आमतौर पर अपने खुद के यॉट पर ही हॉलिडे मनाते हैं। लेकिन, इस समय उनकी कुछ फोटोज वायरल हो रहीं, जिसमें वे साइकलिंग करते नजर आ रहे हैं। बता दें, अल वलीद अपनी दरियादिली के लिए भी जाने जाते हैं। भारत के भूकंप पीड़ितों की भी कर चुके हैं मदद... &nbsp; &nbsp; - भारत में 2004 में आए भूकंप और सुनामी के प्रभावितों के लिए भी अल वलीद 17 मिलियन डॉलर दान कर चुके हैं।&nbsp; - उन्होंने अमेरिका की जार्जटाउन यूनिवर्सिटी और हार्वर्ड यूनिवसिर्टी को 10-10 मिलियन डॉलर का दान दिया था।&nbsp; - इसके अलावा वे फलस्तीन के विस्थापितों को 18.5 मिलियन पाउंड की सहायता दी थी। 1.22 लाख करोड़ रुपए से अधिक का साम्राज्य - सऊदी के सबसे अमीर वलीद का साम्राज्य 1.22 लाख करोड़ रुपए से अधिक है। - अल वलीद के पास दुनिया का सबसे महंगा प्लेन है। इसे उड़ता महल कहा जाता है।&nbsp; - वलीद के पास दुनिया की एक से बढ़कर एक महंगी 300 कारों का कलेक्शन है। - इनकी एक मर्सडीज में बेशकीमती हीरे जड़े हुए हैं,...
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
https://www.bhaskar.com/news/INT-PAK-dozens-dead-in-blast-in-pakistan-5670835-PHO.html,,"Tue, 15 Aug 2017 14:15:00 GMT","पाकिस्तान बलूचिस्तान प्रांत में आत्मघाती हमले 8 सैनिकों सहित 15 की मौत","<a href=""https://www.bhaskar.com/news/INT-PAK-dozens-dead-in-blast-in-pakistan-5670835-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/15//1_1502806536.jpg"" /></a>पाकिस्तान में बलूचिस्तान प्रांत के हरनाई जिले में आत्मघाती हमले में आठ सैनिकों सहित 15 लोगों की मौत हो गई। इस इलाके में कुछ दिनों में ही यह दूसरा हमला है। बलूचिस्तान की राजधानी क्वेटा से लगभग सौ मील दूर स्थित हरनाई जिले में आत्मघाती हमलावर ने अपनी बाइक से एक सैन्य वाहन को टक्कर मार दी, जिसके बाद हुए बम विस्फोट में आठ सैनिक और सात अन्य नागरिक मारे गए।
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
https://www.bhaskar.com/news/INT-saudi-prince-and-family-holidaying-in-turkey-5670648-PHO.html,,"Tue, 15 Aug 2017 08:15:00 GMT","तुर्की की सड़कों पर सऊदी के प्रिंस, इस तरह साइकिल पर घूमते आए नजर","<a href=""https://www.bhaskar.com/news/INT-saudi-prince-and-family-holidaying-in-turkey-5670648-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/15//saudi4_1502783633.jpg"" /></a>इंटरनेशनल डेस्क. दुनिया के बड़े अमीरों में शुमार सउदी अरब के प्रिंस अल वलीद अल सउद इन दिनों तुर्की में फैमिली के साथ हॉलीडे में बिजी हैं। आमतौर पर अपने पर्सनल यॉट पर छुट्टियां मनाने वाले सउदी प्रिंस इस बार तुर्की की सड़कों पर साइकलिंग करते देखे गए। अपनी फैमिली और दोस्तों के साथ साइकलिंग पे निकले प्रिंस इस दौरान सिर्फ पीले कलर की शार्ट्स, जूते और सनग्लासेज़ पहने थे। 62 साल के हो चुके प्रिंस वलीद का ये अंदाज पहली बार दुनिया के सामने आया है। 18 अरब डॉलर है प्रिंस वलीद की संपत्ति....
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
https://www.bhaskar.com/news/INT-hundreds-dead-after-flood-and-mudslide-in-sierra-leone-5670605-PHO.html,,"Tue, 15 Aug 2017 06:42:00 GMT","सिएरा लियोन में बाढ़ और भूस्खलन, 300 से ज्यादा लोगों की मौत","<a href=""https://www.bhaskar.com/news/INT-hundreds-dead-after-flood-and-mudslide-in-sierra-leone-5670605-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/15//1_1502779367.jpg"" /></a>अफ्रिकन कंट्री सिएरा लियोन की राजधानी फ्रीटाउन में भूस्खलन और बाढ़ के चलते मरने वालों की संख्या 300 पार कर चुकी है। अंतर्राष्ट्रीय संस्था द रेड क्रॉस के प्रवक्ता अबूबकर तारावली के मुताबिक, अब तक 205 लोगों के शव बरामद किए गए हैं। शवों को फ्रीटाउन के केंद्रीय शवगृह में ले जाया गया है।
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
https://www.bhaskar.com/news/INT-north-korea-ready-to-response-of-american-attack-5670582-PHO.html,,"Tue, 15 Aug 2017 06:12:00 GMT","अमेरिकी हमले का जवाब देने के लिए तानाशाह ने सेना को तैयार रहने के आदेश दिए","<a href=""https://www.bhaskar.com/news/INT-north-korea-ready-to-response-of-american-attack-5670582-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/15//1_1502777578.jpg"" /></a>उत्तर कोरिया की संवाद समिति केसीएनए ने किम के हवाले से कहा,"" अमेरिका ने पहले हमारे आस-पास कई रणनीतिक परमाणु हथियार स्थापित किए, इसलिए अमेरिका को पहले सही निर्णय लेना चाहिए तथा कोरियाई द्वीप में तनाव कम करने और खतरनाक सैन्य टकराव को रोकने के लिए पहले ठोस कदम उठाना चाहिए।
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
https://www.bhaskar.com/news/INT-rapist-executed-at-public-square-in-yemen-5670261-PHO.html,,"Mon, 14 Aug 2017 18:40:00 GMT","एक और रेपिस्ट को सरेआम मारी गोली, बीच चौराहे पर क्रेन से लटकाया","<a href=""https://www.bhaskar.com/news/INT-rapist-executed-at-public-square-in-yemen-5670261-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/14//yemen_1502722195.jpg"" /></a>यमन में चार साल की बच्ची से रेप और मर्डर के आरोपी को सरेआम मार दी गई। विद्रोहियों के कब्जे वाली राजधानी सना में बीच चौराहे पर उसे ताबड़तोड़ गोलियां मारी गईं। पंद्रह दिनों के अंदर ये दूसरा मौका है, जब किसी रेपिस्ट को इस तरह मौत दी गई हो। 
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
https://www.bhaskar.com/news/INT-alaskan-boy-killed-whale-and-traumatized-5670225-PHO.html,,"Mon, 14 Aug 2017 18:32:00 GMT","16 साल के लड़के ने किए व्हेल के टुकड़े, फोटोज सामने आईं तो मचा हंगामा","<a href=""https://www.bhaskar.com/news/INT-alaskan-boy-killed-whale-and-traumatized-5670225-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/14//1_1502716869.jpg"" /></a>अलास्का के यूपिक गांव में एक 16 साल के बच्चे द्वारा व्हेल के शिकार का मामला तूल पकड़ता जा रहा है। दरअसल, बीते अप्रैल महीने में क्रिस अपासिन्गॉक ने तट पर आ पहुंची अपनी हापरून गन से एक व्हेल को मार दिया था। इसके बाद गांव वालों की मदद से व्हेल को तट से किनारे पर लाया गया, जिसके बाद गांव वालों ने कई दिनों तक इस व्हेल का मांस खाया।
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
https://www.bhaskar.com/news/INT-16-year-old-alaskan-boy-killed-whale-5670224-PHO.html,,"Mon, 14 Aug 2017 13:31:00 GMT",===============================================,"<a href=""https://www.bhaskar.com/news/INT-16-year-old-alaskan-boy-killed-whale-5670224-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/14//1_1502716713.jpg"" /></a>अलास्का के यूपिक गांव में एक 16 साल के बच्चे द्वारा व्हेल के शिकार का मामला तूल पकड़ता जा रहा है। दरअसल, बीते अप्रैल महीने में क्रिस अपासिन्गॉक ने तट पर आ पहुंची अपनी हापरून गन से एक व्हेल को मार दिया था। इसके बाद गांव वालों की मदद से व्हेल को तट से किनारे पर लाया गया, जिसके बाद गांव वालों ने कई दिनों तक इस व्हेल का मांस खाया।
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
https://www.bhaskar.com/news/INT-indian-immigrant-deportation-from-usa-5669969-PHO.html,,"Mon, 14 Aug 2017 13:25:00 GMT","गैरकानूनी तरीके से दूसरे देश में घुसा और शादी की, अब मिली ये सजा","<a href=""https://www.bhaskar.com/news/INT-indian-immigrant-deportation-from-usa-5669969-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/14//1_1502697711_1502717.jpg"" /></a>इमिग्रेशन एंड कस्टम्स एन्फोर्समेंट डिपार्टमेंट द्वारा बलजीत को देश छोड़ने के लिए सिर्फ तीन महीनों का समय दिया गया है, ताकि वे दस्तावेज संबंधी सारे काम निपटा लें। अमेरिका में गैर-कानूनी तरीके से दाखिल होने के आरोप में यह भी सजा दी गई है कि वे अब अगले 10 सालों तक कभी भी अमेरिका में एंट्री नहीं कर सकेंगे।
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
https://www.bhaskar.com/news/INT-battles-between-philippine-extremists-5670178-PHO.html,,"Mon, 14 Aug 2017 12:26:00 GMT","फिलीपीन्स के मिंडाना में हिंसा में 25 की मौत, दर्जनों घायल","<a href=""https://www.bhaskar.com/news/INT-battles-between-philippine-extremists-5670178-PHO.html""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://i9.dainikbhaskar.com/thumbnail/680x588/web2images/www.bhaskar.com/2017/08/14//0_1502713630.jpg"" /></a>बेसाना ने बताया कि सरकार और एमआईएलएफ के बीच हुए एक शांति समझौते के तहत सरकार और एमआईएलएफ मिंडानाओ में सक्रिय आतंकवादी गुटों के खिलाफ एक साथ मिलकर काम करते हैं। इस साल के अंत तक मिंडानाओ द्वीप के मार्शल लॉ के अधीन रहने के आसार हैं।
<br/><br/><a href=""https://f87kg.app.goo.gl/V27t"">आज की ताज़ा ख़बरें पढ़ने के लिए दैनिक भास्कर ऍप डाउनलोड करें </a>
"
